PlayerCard1,PlayerCard2,FlopCard1,FlopCard2,FlopCard3,EquityPercent
Ac.png,3s.png,7s.png,4h.png,7h.png,5.43
Qd.png,4d.png,9d.png,3h.png,8d.png,32.6
3h.png,8c.png,4c.png,5c.png,Qh.png,4.4
Ac.png,Qc.png,4d.png,Ah.png,9s.png,57.8
Ah.png,7d.png,Ks.png,Td.png,Kd.png,11.43
Td.png,6h.png,Tc.png,Qd.png,Js.png,10.17
3c.png,5s.png,Kd.png,Kc.png,Td.png,2.27
3d.png,8s.png,2d.png,3s.png,8c.png,61
Td.png,2h.png,4h.png,9d.png,Ks.png,4.13
2c.png,9s.png,Qd.png,Kc.png,Ks.png,3.27
Ah.png,2s.png,7h.png,4s.png,5d.png,6.13
2h.png,Js.png,3c.png,2s.png,Jc.png,54.2
2h.png,Kd.png,Ah.png,Jc.png,2c.png,15.2
Kd.png,Ks.png,7c.png,8c.png,As.png,27
4c.png,Ac.png,9h.png,Td.png,7h.png,3.43
7s.png,7c.png,8c.png,6h.png,4s.png,25.6
Tc.png,9d.png,Ks.png,3d.png,4s.png,6.6
4s.png,9h.png,3h.png,3d.png,Kd.png,2.6
8c.png,Ks.png,4d.png,5d.png,8d.png,10.3
4c.png,5d.png,Kd.png,Qc.png,Ts.png,1.8
6h.png,Jd.png,3h.png,2c.png,Kh.png,6.93
4h.png,7h.png,Kd.png,2c.png,Qh.png,5.3
9s.png,Ah.png,3h.png,4h.png,6h.png,36.03
4s.png,2h.png,2d.png,5s.png,5d.png,10.5
9s.png,6d.png,8d.png,5c.png,8s.png,19.08
2s.png,Qh.png,Ac.png,4s.png,6c.png,2.83
Qd.png,2h.png,4d.png,8c.png,Jc.png,4.57
6s.png,Ad.png,8d.png,4d.png,9d.png,40.25
Qs.png,As.png,7d.png,Jh.png,9s.png,13.6
Jd.png,Ah.png,8d.png,Ks.png,3d.png,13.07
Ah.png,5s.png,Jd.png,7c.png,8h.png,5.43
5c.png,Jh.png,Tc.png,Ah.png,Qd.png,12.57
7h.png,Tc.png,3c.png,2c.png,Qh.png,6.2
Tc.png,7c.png,Ah.png,9d.png,3h.png,5.77
Qs.png,Ac.png,6s.png,9d.png,Qc.png,43.6
